,start,end,delta
0,1627645053763.7808,1627645053962.0,198.21923828125
1,1627645053814.1467,1627645053964.0,149.853271484375
2,1627645053846.064,1627645053972.0,125.93603515625
3,1627645053877.7808,1627645053983.0,105.21923828125
4,1627645053907.7012,1627645054028.0,120.298828125
5,1627645053941.6106,1627645054051.0,109.389404296875
6,1627645053970.5332,1627645054051.0,80.466796875
7,1627645054003.4448,1627645054077.0,73.55517578125
8,1627645054036.357,1627645054090.0,53.64306640625
9,1627645054063.2866,1627645054125.0,61.71337890625
10,1627645054094.2021,1627645054147.0,52.7978515625
11,1627645054122.127,1627645054176.0,53.873046875
12,1627645054154.0425,1627645054202.0,47.95751953125
13,1627645054185.956,1627645054338.0,152.0439453125
14,1627645054214.8787,1627645054378.0,163.121337890625
15,1627645054245.7976,1627645054511.0,265.202392578125
16,1627645054276.7158,1627645054369.0,92.2841796875
17,1627645054308.661,1627645054404.0,95.339111328125
18,1627645054342.5422,1627645054544.0,201.457763671875
19,1627645054374.4526,1627645054591.0,216.54736328125
20,1627645054403.3748,1627645054447.0,43.625244140625
21,1627645054435.289,1627645054481.0,45.7109375
22,1627645054467.2046,1627645054611.0,143.79541015625
23,1627645054497.1245,1627645054641.0,143.87548828125
24,1627645054528.042,1627645054577.0,48.9580078125
25,1627645054558.9585,1627645054616.0,57.04150390625
26,1627645054589.8757,1627645054675.0,85.124267578125
27,1627645054620.7932,1627645054712.0,91.206787109375
28,1627645054652.7073,1627645054702.0,49.292724609375
29,1627645054684.6228,1627645054833.0,148.377197265625
30,1627645054714.543,1627645054872.0,157.45703125
31,1627645054754.329,1627645054900.0,145.6708984375
32,1627645054792.2258,1627645054865.0,72.774169921875
33,1627645054822.7263,1627645054904.0,81.273681640625
34,1627645054852.6467,1627645054945.0,92.353271484375
35,1627645054883.563,1627645054969.0,85.43701171875
36,1627645054914.4807,1627645054963.0,48.519287109375
37,1627645054946.3945,1627645054998.0,51.60546875
38,1627645054977.313,1627645055026.0,48.68701171875
39,1627645055005.2356,1627645055056.0,50.764404296875
40,1627645055035.1565,1627645055105.0,69.843505859375
41,1627645055066.0764,1627645055116.0,49.923583984375
42,1627645055098.9878,1627645055246.0,147.01220703125
43,1627645055127.9087,1627645055281.0,153.09130859375
44,1627645055158.8257,1627645055201.0,42.17431640625
45,1627645055189.7422,1627645055234.0,44.2578125
46,1627645055223.6545,1627645055318.0,94.345458984375
47,1627645055254.5715,1627645055349.0,94.428466796875
48,1627645055284.4924,1627645055336.0,51.507568359375
49,1627645055316.4053,1627645055369.0,52.5947265625
50,1627645055345.33,1627645055390.0,44.669921875
51,1627645055376.246,1627645055423.0,46.75390625
52,1627645055407.1626,1627645055452.0,44.83740234375
