,start,end,delta
0,1627643222922.399,1627643223164.0,241.60107421875
1,1627643222950.3154,1627643223146.0,195.6845703125
2,1627643222969.8225,1627643223227.0,257.177490234375
3,1627643222978.7986,1627643223154.0,175.201416015625
4,1627643222987.776,1627643223273.0,285.22412109375
5,1627643222997.7483,1627643223177.0,179.251708984375
6,1627643223007.7217,1627643223335.0,327.2783203125
7,1627643223019.6882,1627643223215.0,195.311767578125
8,1627643223032.6558,1627643223266.0,233.34423828125
9,1627643223042.6272,1627643223352.0,309.372802734375
10,1627643223051.602,1627643223386.0,334.39794921875
11,1627643223060.5793,1627643223402.0,341.420654296875
12,1627643223074.5408,1627643223439.0,364.459228515625
13,1627643223087.507,1627643223428.0,340.492919921875
14,1627643223097.4797,1627643223469.0,371.520263671875
15,1627643223110.4458,1627643223480.0,369.55419921875
16,1627643223126.404,1627643223523.0,396.595947265625
17,1627643223137.3728,1627643223540.0,402.627197265625
18,1627643223149.3416,1627643223565.0,415.658447265625
19,1627643223170.2861,1627643223568.0,397.7138671875
20,1627643223187.2407,1627643223611.0,423.75927734375
21,1627643223205.1917,1627643223600.0,394.808349609375
22,1627643223221.1501,1627643223651.0,429.849853515625
23,1627643223240.0984,1627643223668.0,427.901611328125
24,1627643223252.0667,1627643223707.0,454.933349609375
25,1627643223268.0256,1627643223692.0,423.974365234375
26,1627643223282.9849,1627643223735.0,452.01513671875
27,1627643223291.9595,1627643223845.0,553.04052734375
28,1627643223301.9329,1627643223895.0,593.067138671875
29,1627643223313.9016,1627643223774.0,460.098388671875
30,1627643223323.8738,1627643223823.0,499.126220703125
31,1627643223336.8403,1627643223935.0,598.15966796875
32,1627643223351.8003,1627643223973.0,621.19970703125
33,1627643223363.7683,1627643223847.0,483.231689453125
34,1627643223373.74,1627643223885.0,511.260009765625
35,1627643223383.714,1627643224010.0,626.285888671875
36,1627643223398.676,1627643224042.0,643.323974609375
37,1627643223413.6343,1627643223926.0,512.36572265625
38,1627643223424.6057,1627643224071.0,646.394287109375
39,1627643223440.5637,1627643224177.0,736.436279296875
40,1627643223451.5327,1627643224213.0,761.46728515625
41,1627643223462.5046,1627643224109.0,646.495361328125
42,1627643223477.463,1627643224259.0,781.537109375
43,1627643223491.4258,1627643224267.0,775.57421875
44,1627643223503.3943,1627643224391.0,887.605712890625
45,1627643223517.3574,1627643224303.0,785.642578125
46,1627643223533.316,1627643224329.0,795.68408203125
47,1627643223544.2864,1627643224532.0,987.713623046875
48,1627643223561.2397,1627643224572.0,1010.76025390625
49,1627643223578.1938,1627643224467.0,888.80615234375
50,1627643223591.1592,1627643224504.0,912.8408203125
51,1627643223608.116,1627643224614.0,1005.884033203125
52,1627643223620.0828,1627643224675.0,1054.917236328125
53,1627643223637.0388,1627643224536.0,898.961181640625
54,1627643223649.0046,1627643224572.0,922.995361328125
55,1627643223663.9648,1627643224703.0,1039.03515625
56,1627643223676.9297,1627643224748.0,1071.0703125
57,1627643223690.8926,1627643224623.0,932.107421875
58,1627643223707.8486,1627643224665.0,957.1513671875
59,1627643223720.814,1627643224789.0,1068.18603515625
60,1627643223730.788,1627643224837.0,1106.2119140625
61,1627643223742.754,1627643224710.0,967.24609375
62,1627643223752.7273,1627643224760.0,1007.272705078125
63,1627643223760.707,1627643225161.0,1400.29296875
64,1627643223772.6755,1627643224954.0,1181.324462890625
65,1627643223783.644,1627643224793.0,1009.35595703125
66,1627643223790.6282,1627643224829.0,1038.371826171875
67,1627643223799.602,1627643224989.0,1189.39794921875
68,1627643223808.5776,1627643225039.0,1230.42236328125
69,1627643223817.5542,1627643224869.0,1051.44580078125
70,1627643223827.5273,1627643224917.0,1089.47265625
71,1627643223837.5005,1627643225080.0,1242.49951171875
72,1627643223853.458,1627643225128.0,1274.5419921875
73,1627643223865.4253,1627643224969.0,1103.57470703125
74,1627643223877.394,1627643225027.0,1149.60595703125
75,1627643223892.354,1627643225272.0,1379.64599609375
76,1627643223904.3232,1627643225306.0,1401.6767578125
77,1627643223912.3142,1627643225069.0,1156.685791015625
78,1627643223925.2656,1627643225113.0,1187.734375
79,1627643223938.2336,1627643225338.0,1399.766357421875
80,1627643223948.2043,1627643225384.0,1435.795654296875
81,1627643223957.181,1627643225160.0,1202.819091796875
82,1627643223968.1516,1627643225204.0,1235.848388671875
83,1627643223979.121,1627643225580.0,1600.87890625
84,1627643223990.0918,1627643225557.0,1566.908203125
85,1627643224000.0671,1627643225236.0,1235.932861328125
86,1627643224013.032,1627643225275.0,1261.968017578125
87,1627643224021.0095,1627643225600.0,1578.990478515625
88,1627643224027.9917,1627643225638.0,1610.00830078125
89,1627643224037.9644,1627643225421.0,1383.03564453125
90,1627643224047.938,1627643225459.0,1411.06201171875
91,1627643224056.914,1627643225672.0,1615.0859375
92,1627643224064.8918,1627643225819.0,1754.108154296875
93,1627643224075.864,1627643225486.0,1410.135986328125
94,1627643224083.8416,1627643225522.0,1438.158447265625
95,1627643224091.822,1627643225851.0,1759.177978515625
96,1627643224101.7944,1627643225892.0,1790.20556640625
97,1627643224111.7673,1627643225563.0,1451.232666015625
98,1627643224120.7446,1627643225625.0,1504.25537109375
99,1627643224129.721,1627643225926.0,1796.279052734375
100,1627643224137.6973,1627643225964.0,1826.302734375
101,1627643224145.6768,1627643225740.0,1594.3232421875
102,1627643224153.6543,1627643225772.0,1618.345703125
103,1627643224162.6306,1627643225993.0,1830.369384765625
104,1627643224169.614,1627643226031.0,1861.385986328125
105,1627643224181.58,1627643225913.0,1731.419921875
106,1627643224190.5586,1627643225949.0,1758.44140625
107,1627643224197.5725,1627643226170.0,1972.427490234375
108,1627643224206.5134,1627643226209.0,2002.486572265625
109,1627643224217.4841,1627643225987.0,1769.515869140625
110,1627643224226.4607,1627643226136.0,1909.539306640625
111,1627643224236.4343,1627643226242.0,2005.565673828125
112,1627643224247.4043,1627643226279.0,2031.595703125
113,1627643224260.37,1627643226168.0,1907.6298828125
114,1627643224271.3425,1627643226313.0,2041.657470703125
115,1627643224280.3162,1627643226314.0,2033.683837890625
116,1627643224292.2852,1627643226351.0,2058.71484375
117,1627643224304.2527,1627643226352.0,2047.747314453125
118,1627643224313.2288,1627643226396.0,2082.771240234375
119,1627643224321.2075,1627643226393.0,2071.79248046875
120,1627643224330.1836,1627643226429.0,2098.81640625
121,1627643224339.1592,1627643226442.0,2102.8408203125
122,1627643224348.1335,1627643226606.0,2257.866455078125
123,1627643224355.1152,1627643226466.0,2110.884765625
124,1627643224362.0972,1627643226500.0,2137.90283203125
125,1627643224370.0754,1627643226642.0,2271.924560546875
126,1627643224379.0518,1627643226790.0,2410.9482421875
127,1627643224390.0225,1627643226591.0,2200.9775390625
128,1627643224399.9954,1627643226634.0,2234.004638671875
129,1627643224407.975,1627643226829.0,2421.02490234375
130,1627643224415.9531,1627643226869.0,2453.046875
131,1627643224424.931,1627643226676.0,2251.069091796875
132,1627643224431.9102,1627643226715.0,2283.08984375
133,1627643224439.8894,1627643226905.0,2465.110595703125
134,1627643224447.8674,1627643227056.0,2608.132568359375
135,1627643224455.8809,1627643226745.0,2289.119140625
136,1627643224463.8616,1627643226780.0,2316.138427734375
137,1627643224474.7961,1627643227098.0,2623.203857421875
138,1627643224482.7747,1627643227133.0,2650.225341796875
139,1627643224489.7559,1627643226822.0,2332.244140625
140,1627643224501.7234,1627643226860.0,2358.276611328125
141,1627643224511.699,1627643227174.0,2662.301025390625
142,1627643224519.6777,1627643227215.0,2695.322265625
143,1627643224529.6504,1627643227003.0,2473.349609375
144,1627643224544.6113,1627643227041.0,2496.388671875
145,1627643224552.5872,1627643227253.0,2700.412841796875
146,1627643224561.5637,1627643227296.0,2734.436279296875
147,1627643224573.5325,1627643227081.0,2507.467529296875
148,1627643224589.4883,1627643227226.0,2636.51171875
149,1627643224596.4717,1627643227341.0,2744.5283203125
150,1627643224605.449,1627643227385.0,2779.551025390625
151,1627643224621.4087,1627643227269.0,2647.59130859375
152,1627643224637.3633,1627643227316.0,2678.63671875
153,1627643224647.336,1627643227535.0,2887.6640625
154,1627643224659.305,1627643227569.0,2909.695068359375
155,1627643224675.2598,1627643227373.0,2697.740234375
156,1627643224689.223,1627643227401.0,2711.777099609375
157,1627643224701.1907,1627643227615.0,2913.809326171875
158,1627643224715.154,1627643227652.0,2936.845947265625
159,1627643224724.1292,1627643227439.0,2714.870849609375
160,1627643224734.1025,1627643227586.0,2851.8974609375
161,1627643224748.066,1627643227674.0,2925.93408203125
162,1627643224763.0256,1627643227710.0,2946.974365234375
163,1627643224774.995,1627643227733.0,2958.0048828125
164,1627643224783.9705,1627643227761.0,2977.029541015625
165,1627643224798.9297,1627643227747.0,2948.0703125
166,1627643224806.9065,1627643227780.0,2973.093505859375
167,1627643224813.8894,1627643227795.0,2981.110595703125
168,1627643224826.855,1627643227831.0,3004.14501953125
169,1627643224840.818,1627643227819.0,2978.181884765625
170,1627643224851.7876,1627643227865.0,3013.21240234375
171,1627643224860.7632,1627643227878.0,3017.23681640625
172,1627643224874.727,1627643227908.0,3033.27294921875
173,1627643224890.6846,1627643227891.0,3000.3154296875
174,1627643224903.6494,1627643227928.0,3024.3505859375
175,1627643224918.6104,1627643227945.0,3026.3896484375
176,1627643224935.5635,1627643227980.0,3044.4365234375
177,1627643224947.5322,1627643227967.0,3019.4677734375
178,1627643224960.5002,1627643227997.0,3036.499755859375
179,1627643224976.4556,1627643228393.0,3416.54443359375
180,1627643224994.407,1627643228168.0,3173.593017578125
181,1627643225008.3694,1627643228030.0,3021.630615234375
182,1627643225019.3396,1627643228076.0,3056.660400390625
183,1627643225035.2969,1627643228210.0,3174.703125
184,1627643225049.2603,1627643228254.0,3204.73974609375
185,1627643225061.2275,1627643228099.0,3037.7724609375
186,1627643225077.1848,1627643228138.0,3060.815185546875
187,1627643225092.145,1627643228302.0,3209.85498046875
188,1627643225105.1099,1627643228359.0,3253.89013671875
189,1627643225119.073,1627643228182.0,3062.927001953125
190,1627643225133.037,1627643228226.0,3092.962890625
191,1627643225143.0112,1627643228394.0,3250.98876953125
192,1627643225155.9749,1627643228438.0,3282.025146484375
193,1627643225169.937,1627643228273.0,3103.06298828125
194,1627643225180.908,1627643228319.0,3138.092041015625
195,1627643225193.873,1627643228483.0,3289.126953125
196,1627643225206.8384,1627643228520.0,3313.16162109375
197,1627643225216.8105,1627643228368.0,3151.189453125
198,1627643225223.7927,1627643228412.0,3188.207275390625
199,1627643225231.772,1627643228556.0,3324.22802734375
200,1627643225242.742,1627643228586.0,3343.258056640625
201,1627643225251.7166,1627643228452.0,3200.283447265625
202,1627643225259.6958,1627643228491.0,3231.30419921875
203,1627643225271.6643,1627643228643.0,3371.335693359375
204,1627643225286.6245,1627643228763.0,3476.37548828125
205,1627643225294.6042,1627643228529.0,3234.395751953125
206,1627643225302.5823,1627643228567.0,3264.417724609375
207,1627643225314.55,1627643228795.0,3480.449951171875
208,1627643225322.5283,1627643228932.0,3609.4716796875
209,1627643225330.5103,1627643228603.0,3272.48974609375
210,1627643225340.4812,1627643228643.0,3302.518798828125
211,1627643225350.453,1627643228971.0,3620.547119140625
212,1627643225360.427,1627643229004.0,3643.572998046875
213,1627643225369.4036,1627643228678.0,3308.596435546875
214,1627643225381.3706,1627643228824.0,3442.62939453125
215,1627643225392.3438,1627643229038.0,3645.65625
216,1627643225400.32,1627643229066.0,3665.679931640625
217,1627643225408.3008,1627643228860.0,3451.69921875
218,1627643225416.277,1627643228891.0,3474.722900390625
219,1627643225427.2485,1627643229102.0,3674.75146484375
220,1627643225435.2273,1627643229239.0,3803.772705078125
221,1627643225443.2058,1627643228930.0,3486.794189453125
222,1627643225453.179,1627643228964.0,3510.821044921875
223,1627643225462.1548,1627643229277.0,3814.84521484375
224,1627643225469.1375,1627643229409.0,3939.862548828125
225,1627643225477.1162,1627643229107.0,3629.8837890625
226,1627643225487.0881,1627643229258.0,3770.911865234375
227,1627643225497.094,1627643229445.0,3947.906005859375
228,1627643225504.0435,1627643229482.0,3977.95654296875
229,1627643225516.0115,1627643229298.0,3781.988525390625
230,1627643225529.9753,1627643229331.0,3801.024658203125
231,1627643225538.9497,1627643229522.0,3983.05029296875
232,1627643225547.9263,1627643229554.0,4006.07373046875
233,1627643225563.8845,1627643229355.0,3791.115478515625
234,1627643225573.858,1627643229399.0,3825.14208984375
235,1627643225581.8352,1627643229700.0,4118.164794921875
236,1627643225599.7874,1627643229751.0,4151.212646484375
237,1627643225613.7505,1627643229423.0,3809.24951171875
238,1627643225623.7227,1627643229458.0,3834.27734375
239,1627643225633.6968,1627643229889.0,4255.30322265625
240,1627643225647.6592,1627643230024.0,4376.3408203125
241,1627643225654.6401,1627643229499.0,3844.35986328125
242,1627643225662.6194,1627643229636.0,3973.380615234375
243,1627643225672.5925,1627643230060.0,4387.407470703125
244,1627643225681.5679,1627643230098.0,4416.43212890625
245,1627643225688.549,1627643229669.0,3980.450927734375
246,1627643225695.5312,1627643229702.0,4006.46875
247,1627643225702.5454,1627643230132.0,4429.45458984375
248,1627643225710.4983,1627643230166.0,4455.501708984375
249,1627643225717.472,1627643229740.0,4022.528076171875
250,1627643225725.4507,1627643229885.0,4159.54931640625
251,1627643225733.4307,1627643230201.0,4467.5693359375
252,1627643225742.4067,1627643230238.0,4495.59326171875
253,1627643225751.4138,1627643229921.0,4169.586181640625
254,1627643225759.3599,1627643229954.0,4194.64013671875
255,1627643225768.3381,1627643230279.0,4510.661865234375
256,1627643225781.3337,1627643230435.0,4653.666259765625
257,1627643225790.279,1627643229990.0,4199.720947265625
258,1627643225798.269,1627643230030.0,4231.73095703125
259,1627643225806.2349,1627643230473.0,4666.76513671875
260,1627643225817.2063,1627643230514.0,4696.793701171875
261,1627643225827.178,1627643230056.0,4228.822021484375
262,1627643225834.1929,1627643230093.0,4258.80712890625
263,1627643225842.1401,1627643230546.0,4703.85986328125
264,1627643225853.1104,1627643230705.0,4851.8896484375
265,1627643225862.118,1627643230127.0,4264.882080078125
266,1627643225868.0693,1627643230163.0,4294.9306640625
267,1627643225877.048,1627643230836.0,4958.951904296875
268,1627643225888.0154,1627643230861.0,4972.984619140625
269,1627643225898.9863,1627643230203.0,4304.013671875
270,1627643225907.963,1627643230239.0,4331.037109375
271,1627643225923.9202,1627643230891.0,4967.079833984375
272,1627643225933.9282,1627643230924.0,4990.07177734375
273,1627643225941.8735,1627643230280.0,4338.12646484375
274,1627643225952.846,1627643230429.0,4476.154052734375
275,1627643225964.8108,1627643230963.0,4998.189208984375
276,1627643225973.7869,1627643231001.0,5027.213134765625
277,1627643225982.7627,1627643230466.0,4483.2373046875
278,1627643225995.731,1627643230504.0,4508.26904296875
279,1627643226003.7065,1627643231022.0,5018.29345703125
280,1627643226009.7234,1627643231053.0,5043.276611328125
281,1627643226017.7024,1627643230540.0,4522.297607421875
282,1627643226027.6416,1627643230674.0,4646.3583984375
283,1627643226036.6184,1627643231083.0,5046.381591796875
284,1627643226043.5999,1627643231120.0,5076.400146484375
285,1627643226051.5796,1627643230711.0,4659.42041015625
286,1627643226058.5847,1627643230749.0,4690.415283203125
287,1627643226065.5652,1627643231193.0,5127.434814453125
288,1627643226072.5566,1627643231291.0,5218.443359375
289,1627643226079.5037,1627643230780.0,4700.496337890625
290,1627643226087.5183,1627643230923.0,4835.481689453125
291,1627643226094.4639,1627643231324.0,5229.5361328125
292,1627643226103.4395,1627643231355.0,5251.560546875
293,1627643226112.415,1627643230960.0,4847.5849609375
294,1627643226120.3945,1627643231108.0,4987.60546875
295,1627643226133.3596,1627643231388.0,5254.640380859375
296,1627643226145.3274,1627643231424.0,5278.672607421875
297,1627643226154.304,1627643231144.0,4989.696044921875
298,1627643226164.2788,1627643231277.0,5112.72119140625
299,1627643226178.243,1627643231571.0,5392.757080078125
300,1627643226188.2466,1627643231611.0,5422.75341796875
301,1627643226195.2297,1627643231415.0,5219.770263671875
302,1627643226204.1711,1627643231459.0,5254.828857421875
303,1627643226214.146,1627643231651.0,5436.85400390625
304,1627643226221.1567,1627643231684.0,5462.84326171875
305,1627643226228.1392,1627643231483.0,5254.86083984375
306,1627643226237.083,1627643231515.0,5277.9169921875
307,1627643226250.047,1627643231727.0,5476.952880859375
308,1627643226258.026,1627643231776.0,5517.97412109375
309,1627643226266.005,1627643231549.0,5282.9951171875
310,1627643226274.9834,1627643231587.0,5312.0166015625
311,1627643226284.9578,1627643231805.0,5520.042236328125
312,1627643226294.9314,1627643231847.0,5552.068603515625
313,1627643226302.908,1627643231626.0,5323.092041015625
314,1627643226314.8743,1627643231662.0,5347.125732421875
315,1627643226326.8445,1627643231898.0,5571.155517578125
316,1627643226334.848,1627643231944.0,5609.152099609375
317,1627643226344.7954,1627643231697.0,5352.20458984375
318,1627643226357.7605,1627643231734.0,5376.239501953125
319,1627643226366.7693,1627643231993.0,5626.230712890625
320,1627643226375.711,1627643232036.0,5660.2890625
321,1627643226385.685,1627643231775.0,5389.31494140625
322,1627643226399.6482,1627643232096.0,5696.351806640625
323,1627643226408.6233,1627643232081.0,5672.376708984375
324,1627643226417.5996,1627643232121.0,5703.400390625
325,1627643226430.5667,1627643231871.0,5440.433349609375
326,1627643226440.5383,1627643231910.0,5469.461669921875
327,1627643226450.5112,1627643232158.0,5707.48876953125
328,1627643226457.4937,1627643232309.0,5851.50634765625
329,1627643226469.4604,1627643231957.0,5487.53955078125
330,1627643226476.4417,1627643232002.0,5525.558349609375
331,1627643226484.4207,1627643232450.0,5965.579345703125
332,1627643226492.4016,1627643232490.0,5997.598388671875
333,1627643226518.331,1627643232061.0,5542.6689453125
334,1627643226530.2974,1627643232091.0,5560.70263671875
335,1627643226550.245,1627643232526.0,5975.7548828125
